Nom de la rue proche;Code de la rue proche;N° de police le plus proche;Identifiant;Geo Point;Geo Shape
Rue Lucien Namêche;1273;10;91;50.4664054893,4.8688733592;"{""coordinates"": [4.8688733592, 50.4664054893], ""type"": ""Point""}"
Boulevard Ernest Mélot;1269;40;92;50.4682714031,4.8596327682;"{""coordinates"": [4.8596327682, 50.4682714031], ""type"": ""Point""}"
Rue de l'Armée Grouchy;1251;17;99;50.469489282,4.8537598722;"{""coordinates"": [4.8537598722, 50.469489282], ""type"": ""Point""}"
Rue Général Michel;1823;15;134;50.4671992412,4.8711693052;"{""coordinates"": [4.8711693052, 50.4671992412], ""type"": ""Point""}"
Place Wiertz;1691;7;409;50.4642122502,4.8488670216;"{""coordinates"": [4.8488670216, 50.4642122502], ""type"": ""Point""}"
Chaussée de Louvain;3730;327;500;50.4777158419,4.8777784314;"{""coordinates"": [4.8777784314, 50.4777158419], ""type"": ""Point""}"
Chaussée de Louvain;3730;280;502;50.4764802689,4.876301745;"{""coordinates"": [4.876301745, 50.4764802689], ""type"": ""Point""}"
Boulevard Frère Orban;1236;1A;108;50.4639342045,4.8570134765;"{""coordinates"": [4.8570134765, 50.4639342045], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;29;222;50.4578516875,4.8734033965;"{""coordinates"": [4.8734033965, 50.4578516875], ""type"": ""Point""}"
Rue de l'Evêché;1233;6;31;50.4630798713,4.860331754;"{""coordinates"": [4.860331754, 50.4630798713], ""type"": ""Point""}"
Place de l'Ecole des Cadets;1813;7;45;50.4661384086,4.8760832291;"{""coordinates"": [4.8760832291, 50.4661384086], ""type"": ""Point""}"
Rue de Gravière;1246;5;68;50.4633667923,4.8697722578;"{""coordinates"": [4.8697722578, 50.4633667923], ""type"": ""Point""}"
Rue Delvaux;1811;13;131;50.4676358698,4.8699084467;"{""coordinates"": [4.8699084467, 50.4676358698], ""type"": ""Point""}"
Rue Général Michel;1823;41;136;50.4678650349,4.8722793186;"{""coordinates"": [4.8722793186, 50.4678650349], ""type"": ""Point""}"
Place Wiertz;1607;16;400;50.4646161032,4.8488666111;"{""coordinates"": [4.8488666111, 50.4646161032], ""type"": ""Point""}"
Chaussée de Louvain;3730;302;503;50.4771222271,4.8771976408;"{""coordinates"": [4.8771976408, 50.4771222271], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;147;208;50.4558616541,4.8733388083;"{""coordinates"": [4.8733388083, 50.4558616541], ""type"": ""Point""}"
Place Joséphine Charlotte;5521;28;218;50.4609948496,4.8775258064;"{""coordinates"": [4.8775258064, 50.4609948496], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;32;223;50.4587127911,4.8747272651;"{""coordinates"": [4.8747272651, 50.4587127911], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;110;224;50.4603211716,4.8761534118;"{""coordinates"": [4.8761534118, 50.4603211716], ""type"": ""Point""}"
Rue de Fer;1234;54;2;50.4664730358,4.8656401299;"{""coordinates"": [4.8656401299, 50.4664730358], ""type"": ""Point""}"
Rue de Bruxelles;1214;78;12;50.4666217685,4.8601372542;"{""coordinates"": [4.8601372542, 50.4666217685], ""type"": ""Point""}"
Rue de Bruxelles;1214;79;15;50.4671956627,4.8588311078;"{""coordinates"": [4.8588311078, 50.4671956627], ""type"": ""Point""}"
Rue Blondeau;1208;19;21;50.4653952952,4.8562735723;"{""coordinates"": [4.8562735723, 50.4653952952], ""type"": ""Point""}"
Rue Joseph Saintraint;1286;7;33;50.4630314619,4.8609146395;"{""coordinates"": [4.8609146395, 50.4630314619], ""type"": ""Point""}"
Rue Joseph Saintraint;1286;2;37;50.4638573344,4.8609339318;"{""coordinates"": [4.8609339318, 50.4638573344], ""type"": ""Point""}"
Rue des Carmes;1216;14;53;50.4657940376,4.8638169545;"{""coordinates"": [4.8638169545, 50.4657940376], ""type"": ""Point""}"
Rue Godefroid;1242;3;55;50.466241932,4.8624250466;"{""coordinates"": [4.8624250466, 50.466241932], ""type"": ""Point""}"
Rue Saint-Nicolas;1833;4;112;50.4637581206,4.8716303992;"{""coordinates"": [4.8716303992, 50.4637581206], ""type"": ""Point""}"
Rue Saint-Nicolas;1833;121;113;50.4651031778,4.8737876324;"{""coordinates"": [4.8737876324, 50.4651031778], ""type"": ""Point""}"
Boulevard Cauchy;1807;5;122;50.4687263656,4.8696693971;"{""coordinates"": [4.8696693971, 50.4687263656], ""type"": ""Point""}"
Rue Dewez;1812;15;126;50.4676323262,4.8709581039;"{""coordinates"": [4.8709581039, 50.4676323262], ""type"": ""Point""}"
Place Léopold;1817;1;120;50.4684585174,4.8672707604;"{""coordinates"": [4.8672707604, 50.4684585174], ""type"": ""Point""}"
Place de l'Ecole des Cadets;1813;4;44;50.4658957941,4.8764860113;"{""coordinates"": [4.8764860113, 50.4658957941], ""type"": ""Point""}"
Rue Bas de la Place;1204;29;69;50.463089476,4.8692207222;"{""coordinates"": [4.8692207222, 50.463089476], ""type"": ""Point""}"
Rue Rogier;1284;77;75;50.4672148617,4.8691122172;"{""coordinates"": [4.8691122172, 50.4672148617], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;109;206;50.4568079686,4.8712290012;"{""coordinates"": [4.8712290012, 50.4568079686], ""type"": ""Point""}"
Avenue Gouverneur Bovesse;5504;20;221;50.4579485854,4.8738422764;"{""coordinates"": [4.8738422764, 50.4579485854], ""type"": ""Point""}"
Rue Bruno;1213;11;110;50.4640604834,4.8570864718;"{""coordinates"": [4.8570864718, 50.4640604834], ""type"": ""Point""}"
Rue des Croisiers;1223;10;47;50.4673180868,4.8647056639;"{""coordinates"": [4.8647056639, 50.4673180868], ""type"": ""Point""}"
Rue des Carmes;1216;35;52;50.4664992429,4.863818556;"{""coordinates"": [4.863818556, 50.4664992429], ""type"": ""Point""}"
Rue Julie Billiart;1207;15;74;50.4636745587,4.8689533798;"{""coordinates"": [4.8689533798, 50.4636745587], ""type"": ""Point""}"
Place Maurice Servais;1297;7;82;50.462326282,4.8654274436;"{""coordinates"": [4.8654274436, 50.462326282], ""type"": ""Point""}"
Rue de l'Armée Grouchy;1251;28;100;50.4696661239,4.8537168891;"{""coordinates"": [4.8537168891, 50.4696661239], ""type"": ""Point""}"
Rue du Lombard;1818;81;141;50.4655083471,4.8713070004;"{""coordinates"": [4.8713070004, 50.4655083471], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;168;207;50.4556576986,4.87341268;"{""coordinates"": [4.87341268, 50.4556576986], ""type"": ""Point""}"
Avenue du Bourgmestre Jean Materne;5526;198;209;50.4553955434,4.87460971;"{""coordinates"": [4.87460971, 50.4553955434], ""type"": ""Point""}"
Rue de la Gare Fleurie;5518;10;241;50.4548462595,4.8754679299;"{""coordinates"": [4.8754679299, 50.4548462595], ""type"": ""Point""}"
Rue de la Gare Fleurie;5518;1;240;50.4547432158,4.8757798755;"{""coordinates"": [4.8757798755, 50.4547432158], ""type"": ""Point""}"
